date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:16:37	369/369	---M-Z	200	added ('OK')	text/plain	date:Fri,%2027%20Jan%202023%2014:16:38%20GMT	https://rennaker.lojaintegrada.com.br/robots.txt		(from )
11:16:38	50558/50558	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Jan%202023%2014:16:38%20GMT	https://rennaker.lojaintegrada.com.br/	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/rennaker.lojaintegrada.com.br/index.html	(from )
11:16:38	4414/4414	---M--	200	added ('OK')	image/png	etag:%2254ed4e25e50206521a2aa7e99900bb90%22	https://cdn.awsli.com.br/2545/2545673/favicon/favicon-0c5bed037d.png	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/cdn.awsli.com.br/2545/2545673/favicon/favicon-0c5bed037d.png	(from https://rennaker.lojaintegrada.com.br/)
11:16:38	257076/257076	---MCZ	200	added ('OK')	text/css	etag:W/%22ed055c29561c2e7b44f5f977a3aa4e90%22	https://cdn.awsli.com.br/production/static/loja/estrutura/v1/css/all.min.css?v=b683f5a	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/cdn.awsli.com.br/production/static/loja/estrutura/v1/css/all.min4545.css	(from https://rennaker.lojaintegrada.com.br/)
11:16:39	22111/22111	---MCZ	200	added ('OK')	text/css	etag:W/%22871defe8c1a928bcbcc3efcf4a1dde42%22	https://cdn.awsli.com.br/production/static/loja/estrutura/v1/css/bootstrap-responsive.css?v=b683f5a	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/cdn.awsli.com.br/production/static/loja/estrutura/v1/css/bootstrap-responsive4545.css	(from https://rennaker.lojaintegrada.com.br/)
11:16:39	17553/17553	---MCZ	200	added ('OK')	text/css	etag:W/%221a35503d72cc333e7c052c4142c9c958%22	https://cdn.awsli.com.br/production/static/loja/estrutura/v1/css/style-responsive.css?v=b683f5a	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/cdn.awsli.com.br/production/static/loja/estrutura/v1/css/style-responsive4545.css	(from https://rennaker.lojaintegrada.com.br/)
11:16:39	852/852	---M-Z	200	added ('OK')	text/css	date:Mon,%2023%20Jan%202023%2020:18:56%20GMT	https://rennaker.lojaintegrada.com.br/tema.css?v=20230123-164524	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/rennaker.lojaintegrada.com.br/temaeef6.css	(from https://rennaker.lojaintegrada.com.br/)
11:16:39	278371/278371	---MCZ	200	added ('OK')	application/javascript	etag:W/%22131ec2d326e73ebc1daea3c29da8a11d%22	https://cdn.awsli.com.br/production/static/loja/estrutura/v1/js/all.min.js?v=b683f5a	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/cdn.awsli.com.br/production/static/loja/estrutura/v1/js/all.min4545.js	(from https://rennaker.lojaintegrada.com.br/)
11:16:39	1329/1329	---MCZ	200	added ('OK')	text/css	etag:W/%22e5daaa0c0b0791e6f73a54fe0bf10236%22	https://cdn.awsli.com.br/production/static/loja/estrutura/v1/css/slick.min.css	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/cdn.awsli.com.br/production/static/loja/estrutura/v1/css/slick.min.css	(from https://rennaker.lojaintegrada.com.br/)
11:16:40	45230/45230	---MCZ	200	added ('OK')	application/javascript	etag:W/%225588b2b2c6165ed03e4cbbdbc830bbe0%22	https://cdn.awsli.com.br/production/static/loja/estrutura/v1/js/slick.min.js?v=b683f5a	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/cdn.awsli.com.br/production/static/loja/estrutura/v1/js/slick.min4545.js	(from https://rennaker.lojaintegrada.com.br/)
